,0
learning_rate,0.005993390991504929
n_steps,52
gamma,0.9527233454164256
gae_lambda,0.8868489471086579
ent_coef,0.04379420950927897
vf_coef,0.15927020594320912
use_rms_prop,False
rms_prop_eps,0.002327411566985297
use_sde,False
